"Date","Close"
"2015-08-22","  228.17"
"2015-08-23","  210.50"
"2015-08-24","  221.61"
"2015-08-25","  225.83"
"2015-08-26","  224.77"
"2015-08-27","  231.40"
"2015-08-28","  229.78"
"2015-08-29","  228.76"
"2015-08-30","  230.06"
"2015-08-31","  228.12"
"2015-09-01","  229.28"
"2015-09-02","  227.18"
"2015-09-03","  230.30"
"2015-09-04","  235.02"
"2015-09-05","  239.84"
"2015-09-06","  239.85"
"2015-09-07","  243.61"
"2015-09-08","  238.17"
"2015-09-09","  238.48"
"2015-09-10","  240.11"
"2015-09-11","  235.23"
"2015-09-12","  230.51"
"2015-09-13","  230.64"
"2015-09-14","  230.30"
"2015-09-15","  229.09"
"2015-09-16","  229.81"
"2015-09-17","  232.97"
"2015-09-18","  231.49"
"2015-09-19","  231.21"
"2015-09-20","  227.09"
"2015-09-21","  230.62"
"2015-09-22","  230.28"
"2015-09-23","  234.53"
"2015-09-24","  235.14"
"2015-09-25","  234.34"
"2015-09-26","  232.76"
"2015-09-27","  239.14"
"2015-09-28","  236.69"
"2015-09-29","  236.06"
"2015-09-30","  237.55"
"2015-10-01","  237.29"
"2015-10-02","  238.73"
"2015-10-03","  238.26"
"2015-10-04","  240.38"
"2015-10-05","  246.06"
"2015-10-06","  242.97"
"2015-10-07","  242.30"
"2015-10-08","  243.93"
"2015-10-09","  244.94"
"2015-10-10","  247.05"
"2015-10-11","  245.31"
"2015-10-12","  249.51"
"2015-10-13","  251.99"
"2015-10-14","  254.32"
"2015-10-15","  262.87"
"2015-10-16","  270.64"
"2015-10-17","  261.64"
"2015-10-18","  263.44"
"2015-10-19","  269.46"
"2015-10-20","  266.27"
"2015-10-21","  274.02"
"2015-10-22","  276.50"
"2015-10-23","  281.65"
"2015-10-24","  283.68"
"2015-10-25","  285.30"
"2015-10-26","  293.79"
"2015-10-27","  304.62"
"2015-10-28","  313.86"
"2015-10-29","  328.01"
"2015-10-30","  314.17"
"2015-10-31","  325.43"
"2015-11-01","  361.19"
"2015-11-02","  403.42"
"2015-11-03","  411.56"
"2015-11-04","  386.35"
"2015-11-05","  374.47"
"2015-11-06","  386.48"
"2015-11-07","  373.37"
"2015-11-08","  380.26"
"2015-11-09","  336.82"
"2015-11-10","  311.08"
"2015-11-11","  338.15"
"2015-11-12","  336.75"
"2015-11-13","  332.91"
"2015-11-14","  320.17"
"2015-11-15","  330.75"
"2015-11-16","  335.09"
"2015-11-17","  334.59"
"2015-11-18","  326.15"
"2015-11-19","  322.02"
"2015-11-20","  326.93"
"2015-11-21","  324.54"
"2015-11-22","  323.05"
"2015-11-23","  320.05"
"2015-11-24","  328.21"
"2015-11-25","  352.68"
"2015-11-26","  358.04"
"2015-11-27","  357.38"
"2015-11-28","  371.29"
"2015-11-29","  377.32"
"2015-11-30","  362.49"
"2015-12-01","  359.19"
"2015-12-02","  361.05"
"2015-12-03","  363.18"
"2015-12-04","  388.95"
"2015-12-05","  388.78"
"2015-12-06","  395.54"
"2015-12-07","  415.56"
"2015-12-08","  417.56"
"2015-12-09","  415.48"
"2015-12-10","  451.94"
"2015-12-11","  435.00"
